partNumber,productName,spec,rate,stock,safety,laststock1,laststock2,laststock3,prdictSafety1,prdictSafety2,seasonPart,modelName,recommend,createTime,true_consumption1_x,true_consumption1_y
11003-000334-06,滑座-開放式螺桿-配合THK滑塊-06,"ETH22-標準型-(TBI-2505(10,25))",1.0,0.0,0.0,25.0,30.0,31.0,31,40,0,2022-09-13-11-34-33,71,1663040931,19.0,15.0
11003-000348-05,滑座-開放式螺桿-配合THK滑塊-05,"ETH22-注油型-(TBI-2505(10,25)",1.0,0.0,0.0,24.0,24.0,0.0,6,7,0,2022-09-13-11-34-33,13,1663040931,0.0,1.0
11003-000364-03,滑座-磁鐵式使用-03,ET(C)H6(M)-27.71*16*4-M3-追加孔位,1.0,85.0,25.0,5.0,39.0,35.0,34,10,0,2022-09-13-11-34-33,44,1663040931,7.0,11.0
11003-000385,滑座-磁鐵式使用-(角度修改),ETB5-50*44*40,1.0,47.0,38.0,5.0,22.0,7.0,17,15,0,2022-09-13-11-34-33,32,1663040931,9.0,7.0
11003-000446-06,滑座-ECH17-配合THK滑塊-06,ECH17一體式-164*154*80-注油型,1.0,0.0,0.0,10.0,4.0,30.0,8,6,0,2022-09-13-11-34-33,14,1663040931,12.0,4.0
11003-000492-03,滑座-03,MK110-270*108*47,1.0,0.0,0.0,16.0,25.0,5.0,11,7,0,2022-09-13-11-34-33,18,1663040931,0.0,0.0
11003-000494-02,滑座-02,MK65-190*63*37.5,1.0,0.0,0.0,32.0,15.0,3.0,24,17,0,2022-09-13-11-34-33,41,1663040931,16.0,1.0
11003-000495-03,滑座-03,K85-266*78*46.5,1.0,0.0,0.0,6.0,18.0,4.0,8,3,0,2022-09-13-11-34-33,11,1663040931,0.0,6.0
11003-000499,滑座-珠溝研磨製程,GTH5-GBX(65*50.8*50)0B,1.0,22.0,11629.0,4670.0,2613.0,3484.0,3733,3943,0,2022-09-13-11-34-33,7676,1663040931,4514.0,3929.0
11003-000524-02,滑座-JTH-X軸螺桿滑座-02,JTH-138*120*48.5,1.0,0.0,0.0,21.0,6.0,12.0,8,4,0,2022-09-13-11-34-33,12,1663040931,5.0,4.0
11003-000539,GTH8-滑座-珠溝研磨,GTH8-90*77.4*58.5,1.0,9.0,11179.0,3874.0,2363.0,3044.0,3319,3559,0,2022-09-13-11-34-33,6878,1663040931,3328.0,3785.0
11003-000572-03,滑座-配合TBI滑塊-03,ETH10-PCD38*6-M5,1.0,0.0,0.0,5.0,24.0,6.0,18,0,0,2022-09-13-11-34-33,18,1663040931,9.0,8.0
11003-000582-02,滑座-ECB10一體式-配合TBI滑塊-02,ECB10一體式-110*104*47.5,1.0,0.0,0.0,7.0,3.0,19.0,8,14,0,2022-09-13-11-34-33,22,1663040931,4.0,10.0
11003-000583-03,滑座-一體式-配合TBI滑塊-03,ECH10一體式-(M/BC/BR/BL)-104*104*65,1.0,13.0,6.0,2.0,8.0,7.0,1,0,0,2022-09-13-11-34-33,1,1663040931,0.0,1.0
11003-000597-04,滑座-04,ECH12一體式-104*104*71.5,1.0,0.0,0.0,1.0,0.0,0.0,7,15,0,2022-09-13-11-34-33,22,1663040931,1.0,1.0
11003-000627,滑座-配合雙皮帶雙動力,ECB17M-152*146*31-(無注油),1.0,0.0,0.0,4.0,6.0,0.0,6,3,0,2022-09-13-11-34-33,9,1663040931,0.0,8.0
11003-000628,滑座-配合雙皮帶雙動力,ECB17上滑座-164*154*31.5-(無注油),1.0,0.0,0.0,4.0,6.0,0.0,2,6,0,2022-09-13-11-34-33,8,1663040931,0.0,8.0
11003-000646-02,滑座-追加擋片軸承-02,MH65-176*58*37,1.0,0.0,0.0,11.0,11.0,2.0,7,8,0,2022-09-13-11-34-33,15,1663040931,2.0,0.0
11003-000739,滑座-ECH22標準型-配合TBI滑塊,ECH22-一體式滑座-230*200*100,1.0,0.0,0.0,29.0,35.0,10.0,13,7,0,2022-09-13-11-34-33,20,1663040931,8.0,13.0
11004-004750,滑軌,THK-SRS15W-624-16/8-行程500-長624,1.0,0.0,0.0,8.0,2.0,10.0,3,4,0,2022-09-13-11-34-33,7,1663040931,0.0,2.0
11005-010609,螺桿-基本長180,TBI-R1205-導程05-行程250-長430,1.0,0.0,130.0,55.0,24.0,31.0,49,51,0,2022-09-13-11-34-33,100,1663040931,110.0,116.0
11005-010837,螺桿-基本長180,TBI-R1205-導程05-行程800-總長980,1.0,0.0,0.0,2.0,0.0,0.0,1,2,0,2022-09-13-11-34-33,3,1663040931,4.0,0.0
11005-010954,螺桿-基本長180,TBI-R1205-導程05-行程50-長230,1.0,0.0,642.0,59.0,274.0,235.0,85,180,0,2022-09-13-11-34-33,265,1663040931,236.0,307.0
11005-010958,螺桿-基本長180,TBI-R1205-導程05-行程350-長530,1.0,0.0,109.0,26.0,56.0,53.0,26,34,0,2022-09-13-11-34-33,60,1663040931,51.0,21.0
11005-010964,螺桿-基本長180,TBI-R1205-導程05-行程750-長930,1.0,0.0,0.0,6.0,6.0,12.0,3,4,0,2022-09-13-11-34-33,7,1663040931,3.0,1.0
11005-010969,螺桿-基本長180,TBI-R1210-導程10-行程250-長430,1.0,0.0,482.0,55.0,108.0,80.0,116,209,0,2022-09-13-11-34-33,325,1663040931,14.0,216.0
11005-010971,螺桿-基本長180,TBI-R1210-導程10-行程350-長530,1.0,0.0,351.0,222.0,59.0,49.0,158,154,0,2022-09-13-11-34-33,312,1663040931,84.0,229.0
11005-010975,螺桿-基本長180,TBI-R1210-導程10-行程650-長830,1.0,0.0,0.0,10.0,24.0,11.0,21,9,0,2022-09-13-11-34-33,30,1663040931,57.0,21.0
11005-011247,螺桿-GTH8,TBI-R1610-導程10-行程300-總長530,1.0,0.0,396.0,66.0,52.0,149.0,151,153,0,2022-09-13-11-34-33,304,1663040931,60.0,120.0
11005-011250,螺桿-GTH8,TBI-R1610-導程10-行程600-總長830,1.0,0.0,232.0,116.0,30.0,156.0,91,98,0,2022-09-13-11-34-33,189,1663040931,126.0,106.0
11005-011751,螺桿-基本長230,TBI-R1605-導程5-行程200-長430,1.0,0.0,154.0,73.0,98.0,32.0,59,68,0,2022-09-13-11-34-33,127,1663040931,71.0,173.0
11005-011752,螺桿-基本長230,TBI-R1605-導程5-行程250-長480,1.0,0.0,83.0,2.0,13.0,7.0,3,34,0,2022-09-13-11-34-33,37,1663040931,4.0,16.0
11005-011761,螺桿-基本長230,TBI-R1605-導程5-行程800-長1030,1.0,0.0,0.0,1.0,3.0,7.0,1,3,0,2022-09-13-11-34-33,4,1663040931,1.0,0.0
11005-011766,螺桿-基本長230,TBI-R1605-導程5-行程1050-長1280,1.0,0.0,0.0,0.0,0.0,3.0,0,3,0,2022-09-13-11-34-33,3,1663040931,2.0,0.0
11005-011767,螺桿-基本長230,TBI-R1610-導程10-行程50-長280,1.0,0.0,111.0,21.0,26.0,49.0,28,42,0,2022-09-13-11-34-33,70,1663040931,68.0,41.0
11005-011771,螺桿-基本長230,TBI-R1610-導程10-行程250-長480,1.0,0.0,335.0,85.0,60.0,192.0,136,78,0,2022-09-13-11-34-33,214,1663040931,15.0,78.0
11005-011774,螺桿-基本長230,TBI-R1610-導程10-行程450-長680,1.0,0.0,215.0,80.0,54.0,73.0,75,76,0,2022-09-13-11-34-33,151,1663040931,89.0,100.0
11005-011778,螺桿-基本長230,TBI-R1610-導程10-行程700-長930,1.0,0.0,139.0,50.0,25.0,107.0,50,51,0,2022-09-13-11-34-33,101,1663040931,10.0,0.0
11005-011781,螺桿-基本長230,TBI-R1610-導程10-行程850-長1080,1.0,0.0,0.0,20.0,13.0,36.0,17,15,0,2022-09-13-11-34-33,32,1663040931,10.0,11.0
11005-011782,螺桿-基本長230,TBI-R1610-導程10-行程900-長1130,1.0,0.0,0.0,22.0,24.0,75.0,19,28,0,2022-09-13-11-34-33,47,1663040931,11.0,10.0
11005-011783,螺桿-基本長230,TBI-R1610-導程10-行程950-長1180,1.0,0.0,0.0,2.0,0.0,21.0,16,16,0,2022-09-13-11-34-33,32,1663040931,0.0,11.0
11005-011784,螺桿-基本長230,TBI-R1610-導程10-行程1000-長1230,1.0,0.0,0.0,29.0,34.0,32.0,23,15,0,2022-09-13-11-34-33,38,1663040931,12.0,17.0
11005-011798,螺桿-基本長230,TBI-R1620-導程20-行程750-長980,1.0,0.0,54.0,29.0,6.0,1.0,19,18,0,2022-09-13-11-34-33,37,1663040931,27.0,2.0
11005-011801,螺桿-基本長230,TBI-R1620-導程20-行程900-長1130,1.0,0.0,130.0,113.0,66.0,43.0,59,81,0,2022-09-13-11-34-33,140,1663040931,36.0,49.0
11005-011803,螺桿-基本長230,TBI-R1620-導程20-行程1000-長1230,1.0,0.0,75.0,7.0,5.0,20.0,27,35,0,2022-09-13-11-34-33,62,1663040931,44.0,16.0
11005-011804,螺桿-基本長230,TBI-R1620-導程20-行程1050-長1280,1.0,0.0,84.0,47.0,15.0,10.0,30,38,0,2022-09-13-11-34-33,68,1663040931,10.0,113.0
11005-012143,螺桿-基本長250.5,TBI-R1610-導程10-行程600-長850.5,1.0,0.0,0.0,41.0,40.0,60.0,25,34,0,2022-09-13-11-34-33,59,1663040931,41.0,76.0
11005-012144,螺桿-基本長250.5,TBI-R1620-導程20-行程600-長850.5,1.0,0.0,0.0,83.0,57.0,21.0,33,23,0,2022-09-13-11-34-33,56,1663040931,82.0,13.0
11005-012335,螺桿-基本長250.5,TBI-R1605-導程5-行程50-長300.5,1.0,0.0,0.0,17.0,17.0,13.0,21,19,0,2022-09-13-11-34-33,40,1663040931,63.0,12.0
11005-012336,螺桿-基本長250.5,TBI-R1605-導程5-行程100-長350.5,1.0,0.0,0.0,11.0,1.0,2.0,22,24,0,2022-09-13-11-34-33,46,1663040931,20.0,27.0
11005-012337,螺桿-基本長250.5,TBI-R1605-導程5-行程150-長400.5,1.0,0.0,0.0,21.0,0.0,0.0,13,14,0,2022-09-13-11-34-33,27,1663040931,33.0,0.0
11005-012340,螺桿-基本長250.5,TBI-R1605-導程5-行程300-長550.5,1.0,0.0,0.0,0.0,1.0,2.0,8,18,0,2022-09-13-11-34-33,26,1663040931,1.0,11.0
11005-012342,螺桿-基本長250.5,TBI-R1605-導程5-行程400-長650.5,1.0,0.0,0.0,4.0,2.0,6.0,5,4,0,2022-09-13-11-34-33,9,1663040931,9.0,23.0
11005-012360,螺桿-基本長250.5,TBI-R1610-導程10-行程100-長350.5,1.0,0.0,0.0,54.0,109.0,6.0,54,34,0,2022-09-13-11-34-33,88,1663040931,127.0,22.0
11005-012361,螺桿-基本長250.5,TBI-R1610-導程10-行程150-長400.5,1.0,0.0,0.0,46.0,70.0,6.0,38,35,0,2022-09-13-11-34-33,73,1663040931,99.0,14.0
11005-012362,螺桿-基本長250.5,TBI-R1610-導程10-行程200-長450.5,1.0,0.0,0.0,195.0,360.0,128.0,121,67,0,2022-09-13-11-34-33,188,1663040931,65.0,45.0
11005-012363,螺桿-基本長250.5,TBI-R1610-導程10-行程250-長500.5,1.0,0.0,0.0,21.0,55.0,0.0,25,32,0,2022-09-13-11-34-33,57,1663040931,3.0,14.0
11005-012364,螺桿-基本長250.5,TBI-R1610-導程10-行程300-長550.5,1.0,0.0,0.0,270.0,153.0,24.0,71,52,0,2022-09-13-11-34-33,123,1663040931,309.0,81.0
11005-012365,螺桿-基本長250.5,TBI-R1610-導程10-行程350-長600.5,1.0,0.0,0.0,20.0,12.0,0.0,31,40,0,2022-09-13-11-34-33,71,1663040931,20.0,47.0
11005-012366,螺桿-基本長250.5,TBI-R1610-導程10-行程400-長650.5,1.0,0.0,0.0,86.0,88.0,40.0,57,66,0,2022-09-13-11-34-33,123,1663040931,163.0,30.0
11005-012367,螺桿-基本長250.5,TBI-R1610-導程10-行程450-長700.5,1.0,0.0,0.0,38.0,47.0,59.0,22,21,0,2022-09-13-11-34-33,43,1663040931,122.0,21.0
11005-012368,螺桿-基本長250.5,TBI-R1610-導程10-行程500-長750.5,1.0,0.0,0.0,71.0,79.0,42.0,46,30,0,2022-09-13-11-34-33,76,1663040931,46.0,66.0
11005-012369,螺桿-基本長250.5,TBI-R1610-導程10-行程550-長800.5,1.0,0.0,0.0,12.0,12.0,13.0,12,16,0,2022-09-13-11-34-33,28,1663040931,47.0,27.0
11005-012391,螺桿-基本長250.5,TBI-R1620-導程20-行程450-長700.5,1.0,0.0,0.0,70.0,86.0,73.0,65,55,0,2022-09-13-11-34-33,120,1663040931,24.0,11.0
11005-012392,螺桿-基本長250.5,TBI-R1620-導程20-行程500-長750.5,1.0,0.0,0.0,72.0,125.0,49.0,43,31,0,2022-09-13-11-34-33,74,1663040931,21.0,30.0
11005-012451,螺桿-基本長230,TBI-R1620-導程20-行程1100-長1330,1.0,0.0,0.0,81.0,47.0,31.0,41,28,0,2022-09-13-11-34-33,69,1663040931,117.0,161.0
11006-000001,光電固定條-行程150↑stroke150+,C型軌-總長100-Sensor mounting plate,1.0,1064.0,188.0,88.0,108.0,98.0,131,46,0,2022-09-13-11-34-33,177,1663040931,56.0,60.0
11007-002850,鋼帶-30寬-0.1厚,GTH5-長1600-黑色化學鎳,1.0,0.0,0.0,13250.0,3410.0,3425.0,9254,6145,0,2022-09-13-11-34-33,15399,1663040931,9680.0,4016.0
11009-000003-02,螺桿抱持座-02,ETH10-92*46*28,1.0,0.0,0.0,3.0,22.0,10.0,17,0,0,2022-09-13-11-34-33,17,1663040931,2.0,8.0
11009-000004,螺桿抱持座,ETH12-75.5*52*20,1.0,326.0,26.0,25.0,4.0,17.0,33,11,0,2022-09-13-11-34-33,44,1663040931,20.0,11.0
11009-000005-03,螺桿抱持座-03,ETH14(13)-93.5*52*30,1.0,675.0,2000.0,308.0,827.0,537.0,427,312,0,2022-09-13-11-34-33,739,1663040931,146.0,254.0
11009-000010-04,螺桿抱持座-04,ECH14-93.5*52*20,1.0,265.0,149.0,50.0,65.0,85.0,59,72,0,2022-09-13-11-34-33,131,1663040931,74.0,67.0
11009-000024-02,螺桿抱持座-02,ECH17-120*50*20,1.0,10.0,212.0,132.0,188.0,208.0,107,83,0,2022-09-13-11-34-33,190,1663040931,130.0,82.0
11009-000025-04,螺桿抱持座-04,ETH17-120*61.5*20,1.0,223.0,1000.0,136.0,366.0,138.0,204,124,0,2022-09-13-11-34-33,328,1663040931,83.0,58.0
11009-000046-03,螺桿抱持座-03,ETS22-163*66*30-對側追加工+2-M4,1.0,60.0,137.0,90.0,141.0,92.0,79,61,0,2022-09-13-11-34-33,140,1663040931,28.0,56.0
11009-000085-05,支桿抱持座-05,GTY8-80*66.8*28,1.0,0.0,0.0,12.0,20.0,14.0,10,27,0,2022-09-13-11-34-33,37,1663040931,14.0,0.0
11009-000085-06,支桿抱持座-06,GTY8-80*66.8*28,1.0,0.0,0.0,104.0,92.0,23.0,63,52,0,2022-09-13-11-34-33,115,1663040931,55.0,28.0
11009-000087,螺桿抱持座-磁鐵式,ECH6M-B(CRM)-65*43*35-(追加磁條),1.0,620.0,9.0,3.0,1.0,0.0,1,0,0,2022-09-13-11-34-33,1,1663040931,0.0,1.0
11009-000119,抱持座-端部軸承抱持座,GTH4-41.98*40.08*18,1.0,0.0,0.0,34.0,29.0,33.0,44,66,0,2022-09-13-11-34-33,110,1663040931,45.0,54.0
11009-000120,抱持座-端部軸承抱持座,GTH8-79.99*62.99*25,1.0,0.0,0.0,42.0,60.0,53.0,56,55,0,2022-09-13-11-34-33,111,1663040931,36.0,54.0
11009-000125,抱持座-端部軸承抱持座,GTH5-53*47.4*18-溝槽貫穿,1.0,0.0,0.0,68.0,58.0,123.0,92,95,0,2022-09-13-11-34-33,187,1663040931,55.0,46.0
11009-000127,螺桿抱持座,GTH5-53*47.5*24.5-(反向同動),1.0,0.0,0.0,70.0,27.0,29.0,31,36,0,2022-09-13-11-34-33,67,1663040931,53.0,26.0
11009-000128,螺桿抱持座,GTH8-80*62.8*26.3-(反向同動),1.0,0.0,0.0,25.0,9.0,10.0,12,9,0,2022-09-13-11-34-33,21,1663040931,13.0,9.0
11009-000139,抱持座-端部軸承抱持座,GTH5-53*47.5*18-鋁加工,1.0,0.0,0.0,5.0,6.0,2.0,3,12,0,2022-09-13-11-34-33,15,1663040931,1.0,4.0
11010-000052-03,固定座-高速軸承固定座-03,ETH17-BM-750w,1.0,0.0,8.0,1.0,6.0,2.0,1,0,0,2022-09-13-11-34-33,1,1663040931,0.0,0.0
11010-000108-02,固定座-鋼帶下固定座-02,ECH(B)14-98*16*11.2,1.0,578.0,426.0,222.0,234.0,232.0,145,155,0,2022-09-13-11-34-33,300,1663040931,204.0,170.0
11010-000155-03,固定座-馬達固定座-03,ETH14(13)-BC(M)-三菱200w(400w)-2,1.0,5846.0,2000.0,165.0,199.0,143.0,184,188,0,2022-09-13-11-34-33,372,1663040931,94.0,156.0
11010-000156-03,固定座-馬達固定座-03,ETH14(13)-BC(M)-國際200w(400w)-2,1.0,1276.0,500.0,12.0,63.0,4.0,10,16,0,2022-09-13-11-34-33,26,1663040931,12.0,13.0
11010-000310,固定座-皮帶輪前固定座-2,ETB14M-134*87*85,1.0,495.0,106.0,64.0,57.0,40.0,45,42,0,2022-09-13-11-34-33,87,1663040931,59.0,38.0
11010-000312-02,固定座-馬達固定座-3-02,ETH17-BC(M)-三菱200w(400w),1.0,161.0,1000.0,67.0,250.0,93.0,160,77,0,2022-09-13-11-34-33,237,1663040931,54.0,44.0
11010-000381-02,固定座-皮帶輪後固定座-02,M80M-標準型-80*70.5*50-配合磁鐵式,1.0,56.0,8.0,2.0,8.0,0.0,3,5,0,2022-09-13-11-34-33,8,1663040931,0.0,0.0
11010-000400-02,固定座-磁鐵固定座-02,ET(C)H(B)5(6)M-標準件-35*14.5*8,1.0,1381.0,62.0,15.0,91.0,82.0,78,10,0,2022-09-13-11-34-33,88,1663040931,23.0,19.0
11010-000403-02,固定座-磁鐵固定座-02,ET(C)B5(6)-35*14.5*8,1.0,252.0,106.0,28.0,60.0,26.0,32,54,0,2022-09-13-11-34-33,86,1663040931,36.0,30.0
11010-000486,固定座-馬達端固定座,ECH14-BC-標準型-93.5*61*54,1.0,60.0,77.0,28.0,22.0,43.0,28,28,0,2022-09-13-11-34-33,56,1663040931,29.0,28.0
11010-000573-06,固定座-左側皮帶輪後固定座-06,MK65-89.5*63*32,1.0,0.0,0.0,33.0,17.0,3.0,17,8,0,2022-09-13-11-34-33,25,1663040931,16.0,1.0
11010-000634-03,固定座-左側皮帶輪前固定座-03,MK85-100*80.5*42,1.0,0.0,0.0,3.0,17.0,3.0,3,1,0,2022-09-13-11-34-33,4,1663040931,0.0,6.0
11010-000635-03,固定座-右側皮帶輪前固定座-03,MK85-100*80.5*44,1.0,0.0,0.0,3.0,17.0,3.0,4,1,0,2022-09-13-11-34-33,5,1663040931,0.0,6.0
11010-000636-03,固定座-左側皮帶輪後固定座-03,MK85-118*80.5*42,1.0,0.0,0.0,4.0,18.0,4.0,5,4,0,2022-09-13-11-34-33,9,1663040931,0.0,6.0
11010-000637-03,固定座-右側皮帶輪後固定座-03,MK85-118*80.5*44,1.0,0.0,0.0,20.0,20.0,4.0,11,9,0,2022-09-13-11-34-33,20,1663040931,0.0,6.0
11010-000638-03,固定座-皮帶抱持輪固定座-03,MK85-74*67*42,1.0,0.0,0.0,4.0,18.0,4.0,8,9,0,2022-09-13-11-34-33,17,1663040931,0.0,6.0
11010-000670-03,固定座-皮帶抱持輪固定座-03,MK65-56*44*28,1.0,0.0,0.0,32.0,13.0,3.0,10,27,0,2022-09-13-11-34-33,37,1663040931,16.0,1.0
11010-000737-03,固定座-右側皮帶輪前固定座-03,MK65-70*63*34,1.0,0.0,0.0,32.0,13.0,3.0,12,27,0,2022-09-13-11-34-33,39,1663040931,16.0,1.0
11010-000773-02,固定座-皮帶輪後固定座-02,ET(C)B6-32*32*26,1.0,51.0,23.0,10.0,8.0,6.0,10,10,0,2022-09-13-11-34-33,20,1663040931,7.0,8.0
11010-000797,固定座-馬達端固定座,ETS-05-B(RLM)-51*40.5*20.25-無鋼帶溝槽,1.0,202.0,19.0,14.0,7.0,15.0,33,0,0,2022-09-13-11-34-33,33,1663040931,6.0,0.0
11010-000800,固定座-防撞輔助塊,ECH12-43*9*6,1.0,225.0,8.0,1.0,0.0,0.0,0,11,0,2022-09-13-11-34-33,11,1663040931,0.0,0.0
11010-000879,固定座-Y軸皮帶輪後固定座,JTH-75*45.5*20,1.0,45.0,4.0,3.0,1.0,15.0,10,11,0,2022-09-13-11-34-33,21,1663040931,0.0,6.0
11010-000946-02,固定座-直結馬達固定座-02,CGTH(Y)4-35M-53*50*44,1.0,0.0,0.0,2.0,2.0,13.0,8,4,0,2022-09-13-11-34-33,12,1663040931,3.0,3.0
11010-000958-02,固定座-直結馬達固定座-02,CGTH8-42M-70*60*45,1.0,0.0,0.0,1.0,20.0,0.0,5,1,0,2022-09-13-11-34-33,6,1663040931,51.0,5.0
11010-001026,固定座-軸承固定座,JTH-78*51*12,1.0,2.0,64.0,50.0,6.0,50.0,31,33,0,2022-09-13-11-34-33,64,1663040931,2.0,14.0
11010-001138,固定座-直結馬達固定座,GTH(Y)4-國際50W-53*44*42-鋁壓鑄加工,1.0,0.0,0.0,11.0,5.0,13.0,23,20,0,2022-09-13-11-34-33,43,1663040931,105.0,8.0
11010-001139,固定座-直結馬達固定座,GTH(Y)4-三菱50W-53*44*42-鋁壓鑄加工,1.0,0.0,0.0,76.0,49.0,44.0,77,90,0,2022-09-13-11-34-33,167,1663040931,87.0,34.0
11010-001140,固定座-直結馬達固定座,GTH(Y)5-國際100W-57.5*53.5*52.7-鋁壓鑄加工,1.0,0.0,0.0,59.0,34.0,12.0,3,40,0,2022-09-13-11-34-33,43,1663040931,221.0,27.0
11010-001141,固定座-直結馬達固定座,GTH(Y)5-三菱100W-57.5*53.5*52.7-鋁壓鑄加工,1.0,0.0,0.0,346.0,158.0,160.0,363,278,0,2022-09-13-11-34-33,641,1663040931,244.0,278.0
11010-001143,固定座-直結馬達固定座,GTH(Y)8-三菱200W-72*64*60-鋁壓鑄加工,1.0,0.0,0.0,228.0,249.0,214.0,320,312,0,2022-09-13-11-34-33,632,1663040931,333.0,220.0
11010-001164,固定座-軸承固定座,GTH12-外徑14*17.4,1.0,0.0,0.0,91.0,110.0,166.0,91,84,0,2022-09-13-11-34-33,175,1663040931,81.0,119.0
11010-001199-02,固定座-馬達固定座-02,CGTH5-57*50.5*43,1.0,0.0,0.0,40.0,23.0,22.0,15,5,0,2022-09-13-11-34-33,20,1663040931,29.0,3.0
11010-001220,固定座-軸承調整座,GTH8-40*36*6-(反向同動),1.0,0.0,0.0,25.0,9.0,11.0,14,11,0,2022-09-13-11-34-33,25,1663040931,23.0,9.0
11010-001250,固定座-直結馬達固定座,GTH(Y)5-57M-53.5*53.5*52.7,1.0,0.0,0.0,2.0,2.0,2.0,11,5,0,2022-09-13-11-34-33,16,1663040931,4.0,2.0
11010-001263,固定座-檔塊固定座,LGF15-68*16*11.5,1.0,0.0,0.0,12.0,42.0,60.0,25,23,0,2022-09-13-11-34-33,48,1663040931,114.0,30.0
11010-001269,固定座-防塵鋼帶下固定座,LGF15-49*13*5.2,1.0,0.0,0.0,12.0,42.0,60.0,33,26,0,2022-09-13-11-34-33,59,1663040931,114.0,30.0
11010-001309,固定座-負壓接頭固定塊,24.5*20*9-配合外徑8負壓接頭,1.0,0.0,0.0,212.0,149.0,225.0,156,127,0,2022-09-13-11-34-33,283,1663040931,286.0,289.0
11010-001329,固定座-軸心固定座-配合煞車器,外徑18.5-長12.5,1.0,0.0,0.0,42.0,27.0,26.0,20,16,0,2022-09-13-11-34-33,36,1663040931,35.0,10.0
11010-001350,固定座-煞車器固定座,CGTH5-57*50.5*45.5,1.0,0.0,0.0,40.0,23.0,22.0,15,7,0,2022-09-13-11-34-33,22,1663040931,29.0,3.0
11010-001366,固定座-高速軸承固定座-雷雕(倉庫),GTH5-54*54*31,1.0,0.0,0.0,91.0,36.0,18.0,51,146,0,2022-09-13-11-34-33,197,1663040931,143.0,76.0
11010-001384,固定座-高速軸承固定座-雷雕(倉庫),GTH8-YAMAHA-79.97*71.97*24.9-(鋁壓鑄加工),1.0,0.0,0.0,67.0,25.0,55.0,91,121,0,2022-09-13-11-34-33,212,1663040931,88.0,91.0
11010-001401,固定板-馬達左右折固定座,CGTY5-125.48*53.5*38,1.0,0.0,0.0,4.0,9.0,8.0,5,4,0,2022-09-13-11-34-33,9,1663040931,9.0,1.0
11010-D03001-03,固定座-皮帶輪前固定座-D03-03,ETB17-新上蓋-750W-169*99.5*87-(D03),1.0,0.0,0.0,2.0,31.0,6.0,15,7,0,2022-09-13-11-34-33,22,1663040931,11.0,24.0
11010-F14401,固定座-滾輪墊高塊-(F144),42*26*9-(F144),1.0,6.0,26.0,4.0,6.0,0.0,11,10,0,2022-09-13-11-34-33,21,1663040931,2.0,8.0
11011-000071,固定板-皮帶下固定板,ET(C)B22-50W,1.0,89.0,55.0,12.0,102.0,36.0,20,29,0,2022-09-13-11-34-33,49,1663040931,22.0,8.0
